symbol
AGG
BND
BSV
GLD
HYG
IAU
IBB
ICF
ITB
IVV
IXJ
IYE
IYF
IYH
IYR
IYW
KBE
KBWB
LQD
REM
RWO
RWR
RWX
RYT
SCHH
USO
VAW
VCR
VDC
VDE
VFH
VGT
VHT
VIS
VNQ
VOO
VPU
VTI
XBI
XHB
XLB
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
XME
XOP
