"","MarketCap","EnterpriseValue","Revenue","GrossProfit","EBITDA","NetIncomeAvltoCommon","TotalCash","TotalDebt","OperatingCashFlow","LeveredFreeCashFlow","symbol","TrailingPE","ForwardPE","PEGRatio","PriceSales","PriceBook","EnterpriseValueRevenue","EnterpriseValueEBITDA","ProfitMargin","OperatingMargin","ReturnonAssets","ReturnonEquity","RevenuePerShare","QtrlyRevenueGrowth","DilutedEPS","QtrlyEarningsGrowth","TotalCashPerShare","TotalDebtEquity","CurrentRatio","BookValuePerShare","Beta","AvgVol","AvgVol1","ForwardAnnualDividendYield","TrailingAnnualDividendYield3","Sector","AnalystOpinion","RollingAVG","Volatility","Kurtosis","RSI","cluster"
"514",1.663e+10,2.144e+10,5.17e+09,5.15e+09,1.46e+09,1.06e+09,1.79e+09,7.08e+09,1.36e+09,-88510000,"IVZ",15.83,12.61,1.25,3.25,2.08,4.15,14.71,0.205,0.2647,0.0404,0.1197,11.9,0.017,2.44,0.382,4.14,78.32,5.58,18.75,1.59,2819050,2836350,0.029,0.026,"Finance",2,-0.0480888286066584,0.00910804740770567,3.65384554532935,31.208116751286,10
"515",1.951e+10,3.711e+10,1.755e+10,6.98e+09,5.01e+09,1.89e+09,1.639e+10,3.567e+10,2.08e+09,1.01e+09,"IX",10.31,0,0,1.06,1.07,2.12,7.41,0.1081,0.1796,0.0238,0.1125,67.03,0.375,7.23,-0.303,62.63,185.31,2.59,66.37,1.78,34555,24550,0,0,"Finance",0,-0.0791748527566063,0.0150581289430446,4.27517616872044,8.4196535309536,134
"516",1.148e+10,1.488e+10,8.29e+09,2.63e+09,842100000,183300000,680600000,4.97e+09,564500000,158570000,"JAH",56.29,17.63,1.9,1.29,4.28,1.8,17.67,0.0221,0.0783,0.0388,0.0731,44.86,0,0.98,0,3.53,199.52,2.2,12.93,1.61,1573170,2068490,0,0,"Consumer Durables",1.6,0.0530346544131726,0.00998750744307788,4.79582104656,50.4792177117102,6
"517",3.93e+09,4.48e+09,1.727e+10,1.03e+09,1.01e+09,183420000,962790000,1.67e+09,972390000,48560000,"JBL",23.25,8.51,0.84,0.23,1.69,0.26,4.42,0.0099,0.0294,0.037,0.0776,88.72,0.151,0.87,-0.616,4.97,71.7,1.16,11.93,0.65,1886400,1587110,0.016,0.016,"Technology",2.3,-0.142276577555627,0.0123444621261123,8.92293992864544,9.47376952890633,15
"518",2.983e+10,3.626e+10,4.246e+10,6.63e+09,3.47e+09,1.8e+09,2.13e+08,7.54e+09,2.1e+09,1.09e+09,"JCI",20,11.53,1.47,0.7,2.8,0.85,10.46,0.0359,0.0611,0.0499,0.1658,64.53,-0.111,2.28,0.011,0.33,68.13,1.07,16.29,1.88,3861760,5288690,0.024,0.022,"Consumer Durables",2.4,-0.127563653000438,0.0103186388591255,4.98237182235945,14.5162209502999,6
"519",2.52e+09,6.94e+09,1.231e+10,4.26e+09,4.39e+08,-5.86e+08,1.04e+09,5.4e+09,2.84e+08,170120000,"JCP",0,0,0.23,0.2,1.42,0.56,15.81,-0.0476,-0.0153,-0.0109,-0.2588,40.33,0.02,-1.93,0,3.42,304.51,1.97,5.81,1.43,11928100,8760740,0,0,"Consumer Services",3.1,-0.0202140309155767,0.0174683475010932,4.61201329731963,76.3157894736842,27
"520",2.61e+09,2.41e+09,1.73e+09,784300000,140800000,-73400000,788900000,584500000,84700000,45330000,"JDSU",0,16.31,1.46,1.5,2.31,1.39,17.12,-0.0424,-7e-04,-3e-04,-0.0617,7.43,-0.017,-0.32,0,3.37,52.23,4.04,4.78,1.17,2730270,6767010,0,0,"Technology",2.6,-0.169910179640719,0.0107398922287793,3.619896275553,62.5000000000001,15
"521",5.29e+09,5.26e+09,1.254e+10,2.07e+09,822290000,332960000,464950000,755430000,630160000,545170000,"JEC",16.48,12.84,1.29,0.43,1.24,0.42,6.4,0.0266,0.0533,0.0517,0.0804,97.22,-0.086,2.56,-0.018,3.7,17.13,1.7,34.54,1.82,1253970,1966780,0,0,"Basic Industries",2.6,-0.0904772599767381,0.0114426052027904,6.1803198011717,19.0821451492403,18
"522",3.102e+10,3.017e+10,1.66e+09,578800000,376700000,291300000,6.7e+07,411100000,179500000,-106530000,"JHX",107.08,20.29,1.35,18.36,0,18.21,80.09,0.1758,0.1846,0.0921,0,3.72,0.093,0.65,0,0.15,0,1.39,-0.46,1.28,3250,2588,0.04,0.042,"Capital Goods",4,0.167505587671838,0.0196219950629211,6.74401513193258,24.1312648141835,135
"523",2.7789e+11,2.6261e+11,7.188e+10,5.158e+10,2.35e+10,1.611e+10,3.132e+10,1.898e+10,0,0,"JNJ",17.66,15.63,3.36,3.85,4.08,3.65,11.17,0.2241,0.2752,0,0,25.78,-0.088,5.68,0.044,11.29,27.97,0,24.45,0.98,7274930,6789650,0.03,0.029,"Health Care",2.5,-0.00137764245657993,0.00641266484169191,2.83147389764294,31.071491326441,136
